sep=;
NomeIntesta;dtIniz;E1;E2;P;R;PU;S1;S2;
alessandro;01/07/2019;2.42;;4.04;1.60;;;;
alessandro;01/08/2019;0.89;;4.04;0.59;;;;
alessandro;01/09/2019;3.49;;3.91;2.31;;;;
alessandro;01/10/2019;9.21;;4.04;6.09;;;;
alessandro;01/11/2019;14.13;14.78;3.91;13.95;;;;
alessandro;01/12/2019;14.58;46.62;4.04;24.18;;;;
alessandro;01/01/2020;14.58;109.92;4.03;28.80;;;;
alessandro;01/02/2020;13.60;107.26;3.77;;;;;
alessandro;01/03/2020;14.58;65.38;4.03;29.21;;;;
alessandro;01/04/2020;14.04;23.88;3.90;;;;;
alessandro;01/05/2020;14.58;22.17;4.03;16.56;;;;
alessandro;01/06/2020;10.29;;3.90;6.80;;;;
alessandro;01/07/2020;14.49;;4.03;9.58;;;;
alessandro;01/08/2020;10.38;;4.03;6.86;;;;
alessandro;01/09/2020;10.38;;3.90;6.86;;;;
alessandro;01/10/2020;13.06;;4.03;8.63;;;;
alessandro;01/11/2020;14.04;25.77;3.90;17.33;;;;
alessandro;01/12/2020;14.58;34.11;4.03;20.28;;;;
alessandro;01/01/2021;14.58;41.88;4.04;22.71;;;;
alessandro;01/02/2021;13.15;33.92;3.65;5.56;;;;
alessandro;01/03/2021;14.58;27.67;4.04;18.27;;;;
alessandro;01/04/2021;14.13;23.69;3.91;11.00;;;;
alessandro;01/05/2021;14.58;17.81;4.04;15.20;;;;
alessandro;01/06/2021;14.13;8.91;3.91;12.12;;;;
alessandro;01/07/2021;14.58;8.34;4.04;12.24;;;;
alessandro;01/08/2021;14.58;0.76;4.04;9.87;;;;
alessandro;01/09/2021;14.13;8.72;3.91;12.06;;;;
alessandro;01/10/2021;14.58;26.91;4.04;18.03;;;;
alessandro;01/11/2021;14.13;35.25;3.91;20.34;;;;
alessandro;01/12/2021;14.58;21.98;4.04;16.50;;;;
alessandro;01/01/2022;18.23;51.68;4.04;21.58;;;;
alessandro;01/02/2022;16.44;36.84;3.65;6.68;;;;
alessandro;01/03/2022;18.23;38.89;4.04;18.63;;;;
alessandro;01/04/2022;17.67;25.33;3.91;10.64;;;;
alessandro;01/05/2022;22.81;11.26;4.04;14.66;;;;
alessandro;01/06/2022;22.03;12.54;3.91;14.55;;;;
alessandro;01/07/2022;40.92;18.42;8.08;16.32;;;;
alessandro;01/08/2022;35.78;18.42;8.08;16.32;;;;
alessandro;01/09/2022;22.03;17.91;3.91;15.79;;;;
alessandro;01/10/2022;22.81;18.42;8.08;16.32;;;;
alessandro;01/11/2022;22.03;18.16;3.91;15.85;;;;
alessandro;01/12/2022;;;8.08;7.69;81.39;1.46;1.54;
alessandro;01/01/2023;;;4.04;16.38;48.34;2.08;2.23;
alessandro;01/02/2023;;;7.30;14.78;40.27;1.87;2.01;
alessandro;01/03/2023;;;4.04;16.32;37.64;2.08;2.20;
alessandro;01/04/2023;;;3.91;10.05;42.92;2.00;3.69;
alessandro;01/05/2023;;;4.04;18.63;33.31;2.08;3.39;
alessandro;01/06/2023;;;3.91;8.40;14.96;1.44;;
